,concelho,ano,mes,distrito,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes
29,Aguiar da Beira,2022,7,Guarda,2087,2819,0,0,0,11,9,2,3,3781,92,1015,18,25,4906
30,Aguiar da Beira,2022,8,Guarda,2053,2851,1,0,0,20,18,9,9,3782,92,1016,14,57,4904
31,Aguiar da Beira,2022,9,Guarda,2026,2881,1,1,0,7,6,7,4,3784,92,1015,16,26,4907
32,Aguiar da Beira,2022,10,Guarda,1948,2958,4,0,0,11,6,8,7,3784,92,1014,16,36,4906
33,Aguiar da Beira,2022,11,Guarda,2225,2677,36,0,0,5,4,10,5,3779,92,1015,16,60,4902
34,Aguiar da Beira,2022,12,Guarda,1786,3122,182,0,3,15,7,11,4,3782,93,1017,16,222,4908
35,Aguiar da Beira,2023,1,Guarda,1788,3124,152,0,3,19,12,20,8,3788,95,1014,15,214,4912
36,Aguiar da Beira,2023,2,Guarda,1691,3224,62,0,0,13,5,9,8,3793,95,1012,15,97,4915
37,Aguiar da Beira,2023,3,Guarda,1480,3436,92,0,3,10,6,10,11,3794,95,1013,14,132,4916
38,Aguiar da Beira,2023,4,Guarda,1344,3572,83,0,0,14,15,11,9,3794,95,1013,14,132,4916
39,Aguiar da Beira,2023,5,Guarda,1093,3823,62,0,0,20,18,10,7,3794,95,1013,14,117,4916
40,Aguiar da Beira,2023,6,Guarda,1062,3871,4,0,0,25,16,8,6,3802,95,1023,13,59,4933
41,Aguiar da Beira,2023,7,Guarda,882,4055,1,0,0,19,18,14,15,3806,95,1022,14,67,4937
42,Aguiar da Beira,2023,8,Guarda,878,4062,2,0,2,19,11,25,11,3813,95,1021,11,70,4940
43,Aguiar da Beira,2023,9,Guarda,784,4149,4,0,0,13,15,19,9,3811,95,1017,10,60,4933
44,Aguiar da Beira,2023,10,Guarda,733,4202,11,0,0,13,7,19,2,3811,95,1018,11,52,4935
45,Aguiar da Beira,2023,11,Guarda,583,4350,1,0,0,30,20,11,10,3806,95,1017,15,72,4933
46,Aguiar da Beira,2023,12,Guarda,370,4561,0,1,0,20,10,15,7,3807,96,1014,14,53,4931
47,Aguiar da Beira,2024,1,Guarda,366,4556,1,0,1,26,18,16,9,3805,96,1012,9,71,4922
48,Aguiar da Beira,2024,2,Guarda,309,4620,1,0,0,9,7,4,2,3810,96,1014,9,23,4929
49,Aguiar da Beira,2024,3,Guarda,205,4731,10,0,0,13,12,10,5,3813,96,1018,9,50,4936
50,Alandroal,2022,3,Évora,2121,1977,0,0,0,10,7,3,3,3276,45,763,14,23,4098
51,Alandroal,2022,4,Évora,2123,1981,1,0,0,24,21,5,6,3275,45,768,16,57,4104
52,Alandroal,2022,5,Évora,2061,2040,2,0,0,26,21,8,6,3272,45,770,14,63,4101
53,Alandroal,2022,6,Évora,2146,1965,4,0,0,19,20,6,7,3277,45,773,16,56,4111
54,Alandroal,2022,7,Évora,2037,2083,1,0,0,16,14,10,2,3285,45,777,13,43,4120
55,Alandroal,2022,8,Évora,2039,2093,1,0,0,23,25,9,10,3294,45,777,16,68,4132
56,Alandroal,2022,9,Évora,2021,2107,2,0,0,24,15,8,4,3292,45,778,13,53,4128
57,Alandroal,2022,10,Évora,2149,1978,8,0,0,16,16,8,6,3288,45,780,14,54,4127
58,Alandroal,2022,11,Évora,2021,2104,29,0,0,7,8,11,5,3287,45,781,12,60,4125
59,Alandroal,2022,12,Évora,2018,2101,87,0,0,12,7,8,2,3279,45,782,13,116,4119
60,Alandroal,2023,1,Évora,1908,2216,120,1,0,21,13,15,10,3285,45,782,12,180,4124
61,Alandroal,2023,2,Évora,1910,2218,15,0,0,14,14,7,8,3291,45,780,12,58,4128
62,Alandroal,2023,3,Évora,1865,2265,18,0,0,11,13,10,15,3291,45,782,12,67,4130
63,Alandroal,2023,4,Évora,1807,2323,36,0,0,25,22,6,9,3291,45,782,12,98,4130
64,Alandroal,2023,5,Évora,1732,2398,62,0,0,24,21,6,4,3291,45,782,12,117,4130
65,Alandroal,2023,6,Évora,1692,2441,2,0,0,18,18,2,8,3288,45,787,13,48,4133
66,Alandroal,2023,7,Évora,1670,2470,0,0,0,18,10,4,8,3289,45,793,13,40,4140
67,Alandroal,2023,8,Évora,1665,2483,1,0,1,20,19,8,10,3291,45,794,18,59,4148
68,Alandroal,2023,9,Évora,1778,2368,0,0,0,14,14,7,5,3295,45,792,14,40,4146
69,Alandroal,2023,10,Évora,1640,2501,3,0,0,21,18,11,12,3293,45,790,13,65,4141
70,Alandroal,2023,11,Évora,1663,2475,2,0,0,33,31,11,6,3292,45,788,13,83,4138
71,Alandroal,2023,12,Évora,1559,2582,0,0,0,17,9,5,6,3294,45,787,15,37,4141
72,Alandroal,2024,1,Évora,1322,2816,1,0,0,23,20,13,7,3294,45,788,11,64,4138
73,Alandroal,2024,2,Évora,1328,2806,2,0,0,15,10,2,1,3288,45,789,12,30,4134
74,Alandroal,2024,3,Évora,1218,2913,1,0,0,19,12,14,7,3286,45,791,9,53,4131
75,Albergaria-a-Velha,2022,3,Aveiro,8525,5596,2,0,0,20,12,10,8,11233,177,2587,124,52,14121
76,Albergaria-a-Velha,2022,4,Aveiro,8566,5563,8,0,0,33,32,31,16,11237,177,2591,124,120,14129
77,Albergaria-a-Velha,2022,5,Aveiro,8460,5662,6,0,0,48,32,37,12,11227,177,2598,120,135,14122
78,Albergaria-a-Velha,2022,6,Aveiro,8477,5655,5,0,0,41,31,25,8,11231,178,2602,121,110,14132
79,Albergaria-a-Velha,2022,7,Aveiro,8305,5836,7,0,0,34,29,12,6,11238,178,2600,125,88,14141
80,Albergaria-a-Velha,2022,8,Aveiro,8340,5797,2,0,0,52,42,24,11,11240,178,2595,124,131,14137
81,Albergaria-a-Velha,2022,9,Aveiro,8278,5861,4,0,0,37,40,32,8,11239,178,2600,122,121,14139
